haskell-asn1-encoding 0.9.6-332
haskell-asn1-parse 0.9.5-331
haskell-asn1-types 0.3.4-310
haskell-assoc 1.1.1-40
haskell-async 2.2.5-272
haskell-attoparsec 0.14.4-176
haskell-attoparsec-aeson 2.2.0.0-2
haskell-attoparsec-iso8601 1.1.1.0-21
haskell-auto-update 0.1.6-450
haskell-base-compat 0.14.1-2
haskell-base-compat-batteries 0.14.1-48
haskell-base-orphans 0.9.3-86
haskell-base-unicode-symbols 0.2.4.2-16
haskell-base16-bytestring 1.0.2.0-181
haskell-base64 1.0-29
haskell-base64-bytestring 1.2.1.0-272
haskell-basement 0.0.16-4
haskell-bifunctors 5.6.2-59
haskell-bitvec 1.1.5.0-38
haskell-blaze-builder 0.4.4.1-27
haskell-blaze-html 0.9.2.0-104
haskell-blaze-markup 0.8.3.0-114
haskell-boring 0.2.2-2
haskell-bsb-http-chunked 0.0.0.4-498
haskell-byteorder 1.0.4-27
haskell-call-stack 0.4.0-384
haskell-case-insensitive 1.2.1.0-376
haskell-cassava 0.5.4.1-39
haskell-cborg 0.2.10.0-81
haskell-cereal 0.5.8.3-4
haskell-citeproc 0.8.1.1-79
haskell-cmdargs 0.10.22-4
haskell-colour 2.3.6-408
haskell-commonmark 0.2.6.1-8
haskell-commonmark-extensions 0.2.5.6-2
haskell-commonmark-pandoc 0.2.2.3-41
haskell-comonad 5.0.9-122
haskell-conduit 1.3.6.1-128
haskell-conduit-extra 1.3.8-71
haskell-constraints 0.14.2-81
haskell-contravariant 1.5.5-6
haskell-cookie 0.5.0-2
haskell-crypton 1.0.4-11
haskell-crypton-connection 0.4.5-21
haskell-crypton-socks 0.6.2-18
haskell-crypton-x509 1.7.7-66
haskell-crypton-x509-store 1.6.12-3
haskell-crypton-x509-system 1.6.7-138
haskell-crypton-x509-validation 1.6.14-54
haskell-data-array-byte 0.1.0.1-72
haskell-data-default 0.7.1.3-34
haskell-data-default-class 0.1.2.2-2
haskell-data-default-instances-containers 0.1.0.3-4
haskell-data-default-instances-dlist 0.0.1.2-137
haskell-data-default-instances-old-locale 0.0.1.2-2
haskell-data-fix 0.3.4-144
haskell-dec 0.0.6-2
haskell-digest 0.0.2.1-2
haskell-digits 0.3.2-11
haskell-distributive 0.6.2.1-415
haskell-djot 0.1.2.3-7
haskell-dlist 1.0-387
haskell-doclayout 0.5-11
haskell-doctemplates 0.11.0.1-71
haskell-easy-file 0.2.5-122
